Medicine Name,Batch Number,Expiry Date,Quantity Sold,Stock Remaining,Date of Sale,Category
Medicine_20,FMB5300,2026-08-11,38,18,2024-01-03,Antacid
Medicine_7,FMB7201,2026-09-07,83,26,2024-02-08,Painkiller
Medicine_3,FMB5291,2025-02-09,18,18,2024-02-28,Cough Syrup
Medicine_4,FMB2309,2026-12-26,32,14,2024-02-18,Painkiller
Medicine_11,FMB7110,2025-10-18,53,16,2024-02-21,Antiseptic
Medicine_7,FMB1184,2025-12-24,79,33,2024-01-15,Cough Syrup
Medicine_19,FMB8661,2026-05-07,53,47,2024-02-26,Vitamin
Medicine_11,FMB6520,2025-09-28,88,19,2024-01-21,Vitamin
Medicine_5,FMB1074,2025-11-22,55,41,2024-03-12,Painkiller
Medicine_18,FMB8911,2026-02-20,86,9,2024-03-24,Cough Syrup
Medicine_17,FMB4721,2026-10-23,43,18,2024-03-14,Vitamin
Medicine_2,FMB7156,2026-03-18,49,42,2024-01-14,Antacid
Medicine_7,FMB7829,2026-04-24,47,34,2024-02-13,Vitamin
Medicine_13,FMB9255,2025-10-23,83,10,2024-01-07,Painkiller
Medicine_19,FMB3407,2025-07-22,11,13,2024-01-02,Vitamin
Medicine_15,FMB7973,2025-07-02,16,10,2024-03-07,Antibiotic
Medicine_16,FMB7055,2026-03-31,44,24,2024-02-18,Cough Syrup
Medicine_15,FMB5302,2025-05-24,67,20,2024-01-22,Antacid
Medicine_12,FMB1161,2025-06-18,30,33,2024-02-21,Antiseptic
Medicine_7,FMB4901,2026-06-29,90,46,2024-02-15,Painkiller
Medicine_15,FMB3376,2026-07-30,87,21,2024-01-30,Antibiotic
Medicine_10,FMB2507,2025-10-16,82,41,2024-02-19,Antiseptic
Medicine_2,FMB5218,2025-01-21,10,40,2024-02-06,Cough Syrup
Medicine_17,FMB4571,2025-04-18,21,18,2024-03-04,Antibiotic
Medicine_12,FMB7691,2026-11-19,35,39,2024-01-23,Antiseptic
Medicine_15,FMB8724,2025-08-13,31,13,2024-02-01,Antiseptic
Medicine_11,FMB7908,2025-01-05,30,34,2024-01-04,Antibiotic
Medicine_1,FMB8999,2026-09-09,81,32,2024-01-18,Antiseptic
Medicine_7,FMB5525,2026-02-07,89,1,2024-01-09,Antiseptic
Medicine_5,FMB6098,2025-08-09,24,27,2024-03-08,Antibiotic
Medicine_12,FMB9276,2026-01-14,20,21,2024-03-31,Painkiller
Medicine_11,FMB9374,2026-09-29,93,30,2024-01-09,Vitamin
Medicine_11,FMB8829,2026-10-14,96,3,2024-02-19,Antacid
Medicine_13,FMB7525,2026-01-09,43,46,2024-02-10,Vitamin
Medicine_2,FMB6667,2026-11-21,50,1,2024-03-14,Cough Syrup
Medicine_1,FMB7107,2026-09-05,88,27,2024-01-24,Vitamin
Medicine_14,FMB4264,2025-05-07,21,21,2024-03-23,Antacid
Medicine_20,FMB6315,2025-08-23,88,48,2024-01-02,Antiseptic
Medicine_11,FMB3582,2025-12-30,75,12,2024-02-24,Antibiotic
Medicine_11,FMB6967,2026-12-07,75,37,2024-03-15,Painkiller
Medicine_14,FMB2259,2026-02-24,54,40,2024-01-07,Antiseptic
Medicine_2,FMB5204,2026-02-26,96,39,2024-02-03,Antacid
Medicine_16,FMB6412,2025-10-28,92,27,2024-03-11,Antacid
Medicine_17,FMB8594,2026-09-21,61,50,2024-02-23,Painkiller
Medicine_3,FMB9069,2026-11-10,57,21,2024-02-15,Cough Syrup
Medicine_19,FMB3979,2025-01-09,19,47,2024-03-30,Antiseptic
Medicine_7,FMB3627,2026-08-20,66,28,2024-02-02,Antiseptic
Medicine_10,FMB1038,2026-11-01,32,24,2024-03-26,Painkiller
Medicine_7,FMB4859,2026-12-16,88,17,2024-01-29,Painkiller
Medicine_14,FMB7197,2026-04-27,46,49,2024-03-15,Cough Syrup
